Param;Date;Type;oldnname;i1;i9
treat1;10.03.2020;Lock;blockeff1;0,550202822667136;0,517006340311751
treat2;15.03.2020;Lock;blockeff2;0,111103595407422;0,10507661142767
treat3;22.03.2020;Lock;blockeff3;0,278355016185324;0,161540026737879
treat4;29.03.2020;Lock;blockeff4;0,156606813888605;0,145152761168987
treat5;23.04.2020;Unlock;unlockeff1;0,206587784960903;0,212516545536457
treat6;01.05.2020;Unlock;unlockeff2;0,180510593105801;0,11844470010372
treat7;07.05.2020;Unlock;unlockeff3;0,138799534790825;0,100029218212375
treat8;14.05.2020;Unlock;unlockeff4;0,213899757601833;0,068963424381601
treat9;21.05.2020;Unlock;unlockeff5;0,170971454213997;0,106560692254263
treat10;05.06.2020;Unlock;unlockeff6;0,485887337391644;1,47247424055411
treat11;12.06.2020;Lock;blockeff5;0,14496691682183;0,0421744397975316
treat12;01.07.2020;Unlock;unlockeff7;0,313869170010964;0,302424992734516
treat13;12.08.2020;Lock;blockeff6;0,201439370474035;0,183367835129021
treat14;27.08.2020;Unlock;unlockeff8;0,28697194903405;0,289237380145132
treat15;30.09.2020;Unlock;unlockeff9;0,367572662519039;0,412001613807558
treat16;19.10.2020;Lock;blockeff7;0,276063412772599;0,260489330857654
treat17;02.11.2020;Lock;blockeff8;0,212333612645028;0,211748522089458
treat18;09.11.2020;Lock;blockeff9;0,222731111445349;0,27390754698171
treat19;22.11.2020;Lock;blockeff10;0,311991158565991;0,230307376727153
treat20;29.11.2020;Lock;blockeff11;0,231259021220973;0,241128691142431
treat21;16.12.2020;Lock;blockeff12;0,20541436773524;0,17379440690723
treat22;01.01.2021;Lock;blockeff13;0,246762256751001;0,178591354211385
